Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size,computedAHZ
91371,1,73.5,0,1,1,1.0,1.0
90001,57110,26.6,28468,28642,12971,4.4,4.402898774188574
90002,51223,25.5,24876,26347,11731,4.36,4.366464922001534
90003,66266,26.3,32631,33635,15642,4.22,4.236414780718579
90004,62180,34.8,31302,30878,22547,2.73,2.757794828580299
90005,37681,33.9,19299,18382,15044,2.5,2.5047194894974742
90006,59185,32.4,30254,28931,18617,3.13,3.179083633238438
90007,40920,24.0,20915,20005,11944,3.0,3.425987943737441
90008,32327,39.7,14477,17850,13841,2.33,2.335597138935048
90010,3800,37.8,1874,1926,2014,1.87,1.8867924528301887
90011,103892,26.2,52794,51098,22168,4.67,4.68657524359437
90012,31103,36.3,19493,11610,10327,2.12,3.011813692263
90013,11772,44.6,7629,4143,6416,1.26,1.834788029925187
90014,7005,44.8,4471,2534,4109,1.34,1.7047943538573862
90015,18986,31.3,9833,9153,7420,2.45,2.5587601078167115
90016,47596,33.9,22778,24818,16145,2.93,2.9480334468875813
90017,23768,29.4,12818,10950,9338,2.53,2.5452987791818376
90018,49310,33.2,23770,25540,15493,3.12,3.1827276834699543
90019,64458,35.8,31442,33016,23344,2.7,2.761223440712817
90020,38967,34.6,19381,19586,16514,2.35,2.359634249727504
90021,3951,44.3,2790,1161,1561,1.57,2.5310698270339524
90022,67179,29.8,33216,33963,17023,3.94,3.9463666803736124
90023,45903,28.4,23037,22866,10727,4.26,4.279202013610515
90024,47452,23.6,22248,25204,17903,2.03,2.6505055018711947
90025,42147,34.7,20859,21288,21228,1.97,1.9854437535330696
90026,67869,34.0,34515,33354,24956,2.68,2.7195464016669337
90027,45151,38.3,22362,22789,21929,1.99,2.0589630170094395
90028,28714,34.0,16056,12658,14964,1.78,1.9188719593691526
90029,38617,34.6,19575,19042,13883,2.7,2.781603399841533
90031,39316,33.5,19546,19770,11156,3.49,3.524202223019003
90032,45786,32.4,22564,23222,12765,3.52,3.5868390129259695
90033,48852,29.2,24425,24427,12924,3.66,3.7799442896935935
90034,57964,32.8,28828,29136,25592,2.23,2.2649265395436076
90035,28418,37.5,13326,15092,12814,2.19,2.2177306071484315
90036,36865,33.9,17914,18951,18646,1.96,1.9770996460366834
90037,62276,28.8,31187,31089,15869,3.85,3.924380868359695
90038,28917,33.1,15383,13534,11928,2.41,2.4242957746478875
90039,28514,38.8,14383,14131,11436,2.47,2.4933543196922
90040,12520,31.2,6129,6391,3317,3.75,3.774495025625565
